Generales;;Otros Estado
;Aseguradora 3;Valor Total Prima Anual IVA Incluido
;Aseguradora 3;Valor Cuota a 5 cuotas (Calculado)
;Aseguradora 3;Valor Cuota a 8 cuotas (Calculado)
;Aseguradora 3;Valor Cuota a 11 cuotas (Calculado)
Entrega Poliza;;Hogar Nombre de Aseguradora
;;Hogar Valor Inmueble
;;Hogar Valor Contenidos Normales Asegurado
;;HogarValor Contenidos Especiales Asegurado
;;Hogar Valor Equipo Electrónico Asegurado
;;Hogar Valor Maquinaria y Equipo Asegurado
;;Hogar Valor Responsabilidad Civil Asegurado
;;Hogar Deducible Terremoto Temblor
;;Valor Deducible DañosTerremoto
;;Tipo Deducible Daños Terremoto
;;Minimo Deducible Daños Terremoto
;;
;;Valor Deducible Daños AMIT/Terrorismo
;;Tipo Deducible Daños AMIT/Terrorismo
;;Minimo Deducible Daños AMIT/Terrorismo
;;
;;Valor Deducible Daños Demas Eventos
;;Tipo Deducible Daños Terremoto
;;Minimo Deducible Daños Terremoto
;;
;;Valor Deducible Hurto Contenidos Normales
;;Tipo Deducible Hurto Contenidos Normales
;;Minimo Deducible Hurto Contenidos Normales
;;
;;Valor Deducible Hurto Contenidos Especiales
;;Tipo Deducible Hurto Contenidos Especiales
;;Minimo Deducible Hurto Contenidos Especiales
;;
;;Valor Deducible Hurto Equipo Eléctrico y Eléctronico
;;Tipo Deducible Hurto Equipo Eléctrico y Eléctronico
;;Minimo Deducible Hurto Equipo Eléctrico y Eléctronico
;;
;;Cobertura Adicionales (Check 1)
;;Cobertura Adicionales (Check 2)
;;Cobertura Adicionales (Check 3)
;;Hogar Valor de Prima Total
;;Hogar Valor de Prima Neta
;;Hogar Valor de Otros Costos
;;Hogar Valor de IVA
;;Hogar Fecha de Inicio Vigencia
;;Hogar Fecha de Fin Vigencia
;;Hogar Medio de Pago
;;Hogar Estado de Cartera
;;Hogar Financiación
;;Hogar Plan de Pagos
;;Hogar Ingreso por Comisión Percibido
